直覺	直觀
擷取	捕獲
關聯	聯動
運作	運行
確定	確保
逐漸	逐步
加強	加固
目前	當前
限制	約束
進而	從而
來源	源
連接	訪問
感覺	感知
當機	死機
灰階	灰度
建構	構建
證明	證實
使用率	利用率
驗證	取證
了解	理解
階層化	層次化
順序	線序
正常	常規
頁籤	選項卡
互相	相互
差別	區別
辨別	識別
展現	體現
C 槽	C 盤
清除	查殺
附加元件	加載項
網路上的芳鄰	網上鄰居
降級	降權
擴充	擴展
成本效益	性價比	
進階	高級
防毒軟體	殺毒軟體
ARP 快取記錄	ARP 緩存表
ARP 欺騙	ARP 欺騙
代理	
自動歸納	
稽核	審核
活動目錄	
驗證碼	鑒別碼
存取權杖	連接權杖
新增硬體	添加硬件
指派	賦值
靈活	敏捷
緩衝區溢位	漏洞溢出
殭屍電腦	肉雞
倒退	退格
位元組	字節
位元	位
內建	集成
部落格	博客
部落客	博主 / 博客主
巨量資料	海量資料
搜尋引擎毒化	黑帽 SEO
橫向優先搜尋	寬度優先遍歷
二進制	二元
設定	設置 / 配置
元件	組件
晶片	芯片
時脈速度	時鐘速度
相容	兼容
電腦	計算機
連線	連接
控制台	控制面板
用戶端	客戶端
指令	命令
擷取	補獲
跨越式 VLAN	
B 類網路	
子網路等級	主類網路
快取區域	緩存區域
紅色代碼	
建立	創建 / 新建
CA 憑證	CA 證書
命令提示字元	命令提示符
當機	宕機
社群	社區
叢集抽樣	聚類抽樣
涵蓋	覆蓋
叢集	集群
CPU 調節	
資料幀	
數位相機	數碼相機
預設	默認
桌面	壁紙
桌上型電腦	台式計算機
顯示卡	顯卡
傳遞	交付
裝置	設備
網域名稱	功能變數名稱
深層檢測	深度檢測
磁碟機代號	驅動器符號
資料	數據
預設	默認 / 缺省
數位	數碼
示範 / 展示	演示
網域名稱	功能變數名稱
重複網頁刪除偵測	網頁去重
次元	維度
回車	
路由器鄰居發現協定	
回應要求	回顯請求
回應答覆	回顯應答
軟碟	軟盤
字型	字體
意見反應	回饋 / 反饋
架構	框架
創始者	奠基人
欄位	域
文件句柄	
群組	和組
硬碟	硬盤
硬體	硬件
主機名稱	主機別名
首頁	主頁
標頭	包頭
雜湊演算法	散列算法 / 哈希算法
劫持	
寫死	硬編碼
圖示	圖標
網際網路	互聯網
IP 位址	IP 地址
實作	實現
帶內管理	
反向索引	倒排索引
內插補點	差值
傳入連結	入鏈
執行個體	實例
智能感知	
搖桿	手柄
核心	內核
區域網路	局域網
連結	鏈接
登入	登錄
登出	註銷
環回	
低延遲時間	低延時
本地主機	
LAN 管理員	LAN 管理器
本機安全性授權	安全子系統
雷射	激光
連結清單	鏈表
記憶體	內存
比對	匹配
模組化	建模
消息代理	
妮姆達	
NTFS 檔案系統	NTFS 分區
線上	在線
路徑成本	度量值
帶外管理	
對外連結	出鏈
封包	報文 / 包文
密碼	口令
權限	許可權
協定	協議
封包遺失	數據包丟失
混雜模式	
權限	許可權
更新檔	補丁
公開金鑰基礎建設	公共金鑰結構
程序	進程
私密金鑰	私有金鑰
印表機	打印機
程式設計	編程
文章	帖子
卜瓦松過程	泊松過程
範式	范式
機率	概率
備援	冗餘
修復代理人	恢復代理
機碼	註冊表
重新整理	刷新
資源回收筒	回收站
復原	回滾
TCP 三向交握	TCP 三次握手
TCP 攔截	TCP 截取
門檻值	閾值
逾時	超時
流量整形	
權仗桶	
教育訓練	培訓
文字檢索	文本檢索
詞彙 - 文件矩陣	單詞 - 文件矩陣
周遊	遍歷
單點傳播	單播
使用者	用戶
解除安裝	卸載
一進制	一元
視訊	視頻
權重	加權
疾風病毒	衝擊波病毒
寫字板	
多點傳播	多播 / 組播
市場佔有率	市場份額
媒體	介質
信差服務	信使服務
主機板	主板 / 母板
數據機	調制解調器
我的文件	我的文檔
主要	主控
中繼資料	元數據
微網誌	微博
原生 VLAN	本地 VLAN
會話狀態	
子網路遮罩	子網掩碼
Access 模式	接入模式
支持工具資源包	
安全參考監督	系統連接仲裁器
簡單磁碟區	簡單卷
跨距磁碟區	跨區卷
